category,label,score,McFadden's pseudo-R-squared
likert turn,consistent,0.4371855257716201,0.008300628765435358
likert turn,emotional,0.459415238323177,0.010492038793791125
likert turn,engaging,0.36465643201942255,0.009000479564633124
likert turn,grammatical,-0.03847506257307609,5.3972275308566964e-05
likert turn,informative,-0.02455900133579773,3.2871718767202296e-05
likert turn,proactive,0.4181508127201514,0.01126193532119868
likert turn,quality,0.4515051933995542,0.009051551478937991
likert turn,relevant,0.4110445326812453,0.010553892009242172
behavior,antisocial,6.0221253907833185,0.001190046335595385
behavior,commonsense contradiction,-3.7652279391835184,0.024277863591267712
behavior,correct fact,-0.038283434513180656,5.382553429855719e-06
behavior,empathetic,1.6371971196229511,0.012621792694140987
behavior,follow up,0.5071374443189527,0.001515671807353569
behavior,ignore,-3.7532541571319844,0.015434629794272903
behavior,incorrect fact,-1.4064906668214028,0.003977564057377814
behavior,irrelevant,-2.327844629133147,0.009423282688739154
behavior,lack of empathy,-2.699847053813582,0.013486182962734294
behavior,life info,0.48796747603461643,0.0006274332265469029
behavior,partner contradiction,-5.722675789961091,0.023771281107602737
behavior,preference info,0.18352021183890954,0.00014944709935282852
behavior,redundant,-3.7615630664136046,0.007833592938393141
behavior,self contradiction,-3.8301521409138166,0.009924293126507444
behavior,topic switch,0.0362994145201431,2.5311992790655324e-06
behavior,uninterpretable,-7.4014680536145026,0.004976291914812969
likert dialogue,consistent,0.810984260350153,0.10344387767212115
likert dialogue,emotional,0.9472390700905946,0.09823486267698711
likert dialogue,engaging,1.5682015673999605,0.19503005106308224
likert dialogue,grammatical,0.5926305531474783,0.033306419292347234
likert dialogue,informative,0.9880505705835637,0.07831553425148907
likert dialogue,proactive,1.101918553412268,0.12720300560311915
likert dialogue,quality,112.60105472206158,1.0
likert dialogue,relevant,1.1833812536644823,0.1287725703647945
