round,category,label,Krippendorff's alpha,CI low,CI high,n,Fleiss' kappa,CI low,CI high,n
0,behavior,antisocial,,,,233.0,,,,233.0
0,behavior,uninterpretable,0.3221476510067113,,,152.0,0.31991051454138675,,,152.0
0,comparative,consistent,0.6805555555555556,0.14814814814814814,1.0,12.0,0.6666666666666667,,,12.0
0,comparative,emotional,0.14167563206024758,-0.3625055662654575,0.6805555555555556,12.0,0.1272727272727274,-0.3170731707317074,0.6903225806451615,12.0
0,comparative,engaging,0.0672222222222224,-0.48082501980988596,0.8052410397301344,12.0,0.23809523809523808,-0.14285714285714285,0.7073170731707318,12.0
0,comparative,grammatical,0.3911825354133047,-0.3996498599439775,0.8241341991341992,12.0,0.4181818181818182,-0.045855202808079434,0.8389261744966442,12.0
0,comparative,informative,0.36111111111111116,-0.12587412587412583,0.8391608391608392,12.0,0.33333333333333326,-0.2444444444444444,0.8321678321678322,12.0
0,comparative,proactive,0.1433673469387754,-0.49753212567116367,0.6717397186147186,12.0,0.2,-0.14893617021276592,0.6862745098039217,12.0
0,comparative,quality,0.6805555555555556,0.14814814814814825,1.0,12.0,0.6666666666666667,0.11111111111111102,1.0,12.0
0,comparative,relevant,0.36111111111111116,-0.12587412587412583,0.8391608391608392,12.0,0.33333333333333326,-0.2444444444444444,0.8321678321678322,12.0
0,likert dialogue,consistent,0.5572173913043479,0.050961538461538614,0.8764713435216112,10.0,0.07692307692307698,-0.30841121495327123,0.6184176253118915,10.0
0,likert dialogue,engaging,0.3277183600713012,-0.10079365079365088,0.6629473080162979,10.0,-0.13821138211382117,-0.5384615384615385,0.4495412844036697,10.0
0,likert dialogue,grammatical,0.26812144212523714,-0.46153846153846145,0.7954379904944039,10.0,-0.052631578947368474,-0.6,0.5007685735017754,10.0
0,likert dialogue,informative,0.6265032377428307,0.1960985694757518,0.9692307692307692,10.0,0.31623931623931617,-0.1382113821138213,0.797979797979798,10.0
0,likert dialogue,proactive,0.4023788546255507,0.04120370370370374,0.9072861499061106,10.0,0.06976744186046517,-0.35111906132539067,0.6980689939519958,10.0
0,likert dialogue,quality,0.2277097902097901,-0.3900155034473504,0.7532425187851525,10.0,0.05511811023622052,-0.3445378151260505,0.6261682242990655,10.0
0,likert dialogue,relevant,0.2559440559440559,-0.7272727272727271,0.788888888888889,10.0,-0.10236220472440945,-0.8181818181818187,0.3548387096774193,10.0
0,likert turn,grammatical,0.21985148738656035,0.10703849955954017,0.3439197805612021,368.0,0.09195654674152813,0.009056928127336748,0.18440874716925537,368.0
0,likert turn,informative,-0.4913842128348034,-0.5733871631764536,-0.3825356634013646,368.0,-0.22406787640598935,-0.2708163909115594,-0.16820369942799537,368.0
0,likert turn,relevant,-0.1633408828216909,-0.23723337390000138,-0.06494217685883634,368.0,-0.08106436600337075,-0.13640889010349153,-0.01346055010506721,368.0
1,behavior,antisocial,0.0,,,75.0,-0.006711409395958358,,,75.0
1,behavior,commonsense contradiction,0.5672727272727273,-0.017094017094017033,0.9007506255212677,60.0,0.563636363636364,-0.03448275862068811,0.8999165971643033,60.0
1,behavior,correct fact,0.5665697023942716,0.34303350970017643,0.7733101499673984,75.0,0.5636607742224212,0.31814525424287626,0.7549019607843136,75.0
1,behavior,empathetic,0.38541666666666674,-0.09198027190059209,0.764,30.0,0.37499999999999983,-0.11111111111111124,0.7333333333333334,30.0
1,behavior,incorrect fact,0.5534465534465534,,,75.0,0.5504495504495502,,,75.0
1,behavior,lack of empathy,-0.07272727272727253,,,30.0,-0.09090909090908979,,,30.0
1,behavior,life info,0.35185185185185186,0.01777777777777767,0.6855953588306485,60.0,0.34640522875817037,0.00952380952380949,0.666048237476809,60.0
1,behavior,partner contradiction,0.44402985074626866,0.060924369747899054,0.7449503594659364,75.0,0.44029850746268634,0.09121949112727262,0.7201492537313432,75.0
1,behavior,preference info,0.248421052631579,-0.03703703703703698,0.5230060411842052,60.0,0.24210526315789485,-0.04575163398692783,0.5090016366612112,60.0
