bot,label,proportion,CI low,CI high,n
bart_fid_rag_bcb,antisocial,0.0006613756613756613,0.00011675858602850655,0.003736849445802678,1512.0
bart_fid_rag_bcb,commonsense contradiction,0.21626984126984128,0.1962510256815979,0.23772671980933663,1512.0
bart_fid_rag_bcb,correct fact,0.35714285714285715,0.3333809418765673,0.38162883207691023,1512.0
bart_fid_rag_bcb,empathetic,0.335978835978836,0.3126132612113278,0.3601757385130353,1512.0
bart_fid_rag_bcb,follow up,0.6388888888888888,0.6143544653304167,0.6627193655481467,1512.0
bart_fid_rag_bcb,ignore,0.1130952380952381,0.09810218099048755,0.13004929013351407,1512.0
bart_fid_rag_bcb,incorrect fact,0.14947089947089948,0.1323880859298664,0.1683303409004257,1512.0
bart_fid_rag_bcb,irrelevant,0.10978835978835978,0.09500832939058315,0.12654614576011936,1512.0
bart_fid_rag_bcb,lack of empathy,0.1474867724867725,0.13050736022728165,0.16625286901903097,1512.0
bart_fid_rag_bcb,life info,0.2605820105820106,0.23908315781057474,0.28329433372256824,1512.0
bart_fid_rag_bcb,partner contradiction,0.07341269841269842,0.06131977490460198,0.0876677445398101,1512.0
bart_fid_rag_bcb,preference info,0.38955026455026454,0.36527990500439744,0.4143804294874115,1512.0
bart_fid_rag_bcb,redundant,0.051587301587301584,0.04153081041357371,0.0639165356070641,1512.0
bart_fid_rag_bcb,self contradiction,0.12367724867724868,0.10803062587353601,0.14123123236502286,1512.0
bart_fid_rag_bcb,topic switch,0.10978835978835978,0.09500832939058315,0.12654614576011936,1512.0
bart_fid_rag_bcb,uninterpretable,0.013888888888888888,0.009101984785427692,0.021139607139600017,1512.0
blender2_3B,antisocial,0.003937007874015748,0.0018055772108119894,0.008562945471457535,1524.0
blender2_3B,commonsense contradiction,0.16404199475065617,0.14629891218949767,0.18347447883341508,1524.0
blender2_3B,correct fact,0.2211286089238845,0.20100834053769187,0.24265121255749936,1524.0
blender2_3B,empathetic,0.42454068241469817,0.399945426260129,0.449515393989158,1524.0
blender2_3B,follow up,0.6200787401574803,0.5954372736988995,0.6441163775565828,1524.0
blender2_3B,ignore,0.08792650918635171,0.07472498872087265,0.10320018620566875,1524.0
blender2_3B,incorrect fact,0.007874015748031496,0.004509975658642707,0.013712765097577063,1524.0
blender2_3B,irrelevant,0.09645669291338582,0.08263359610183693,0.1123090513182633,1524.0
blender2_3B,lack of empathy,0.05774278215223097,0.047105872755685875,0.07060363027057029,1524.0
blender2_3B,life info,0.26246719160104987,0.24099473281910544,0.2851341100525633,1524.0
blender2_3B,partner contradiction,0.07152230971128609,0.0596332256856803,0.08556604059940173,1524.0
blender2_3B,preference info,0.3851706036745407,0.3610563196147734,0.40986231989501126,1524.0
blender2_3B,redundant,0.07480314960629922,0.06263772347693558,0.08910672453643834,1524.0
blender2_3B,self contradiction,0.0662729658792651,0.05484244271098376,0.07988453280883129,1524.0
blender2_3B,topic switch,0.1594488188976378,0.14192811073881126,0.1786820258644928,1524.0
blender2_3B,uninterpretable,0.0013123359580052493,0.0003599636568239798,0.0047724136428120515,1524.0
emora,antisocial,0.000657030223390276,0.00011599138453928428,0.003712361021882367,1522.0
emora,commonsense contradiction,0.1176084099868594,0.10237868316957953,0.13476355512060126,1522.0
emora,correct fact,0.10709592641261498,0.0925375139632707,0.12363268964072949,1522.0
emora,empathetic,0.4073587385019711,0.3829374107828192,0.43224653354521425,1522.0
emora,follow up,0.4067017082785808,0.38228825736754257,0.4315849347926046,1522.0
emora,ignore,0.1176084099868594,0.10237868316957953,0.13476355512060126,1522.0
emora,incorrect fact,0.000657030223390276,0.00011599138453928428,0.003712361021882367,1522.0
emora,irrelevant,0.1498028909329829,0.132756248923226,0.16861284559338283,1522.0
emora,lack of empathy,0.13994743758212877,0.1234227422880642,0.1582850697102503,1522.0
emora,life info,0.20565045992115638,0.18609816133722662,0.22668486744971666,1522.0
emora,partner contradiction,0.06176084099868594,0.05073553852198244,0.07499276549786395,1522.0
emora,preference info,0.24507227332457293,0.22412246524138538,0.26730569361873513,1522.0
emora,redundant,0.05584756898817345,0.04538993256818939,0.06854160194068039,1522.0
emora,self contradiction,0.006570302233902759,0.003572759165028935,0.012052362752369301,1522.0
emora,topic switch,0.28843626806833117,0.2662313119831186,0.3117064899574969,1522.0
emora,uninterpretable,0.000657030223390276,0.00011599138453928428,0.003712361021882367,1522.0
rerank_blender,antisocial,0.006666666666666667,0.0036252160341822583,0.01222848894306348,1500.0
rerank_blender,commonsense contradiction,0.18466666666666667,0.16584421427843274,0.20510011336242837,1500.0
rerank_blender,correct fact,0.21733333333333332,0.1971980395649466,0.23891273193552928,1500.0
rerank_blender,empathetic,0.43333333333333335,0.4084579972564933,0.4585492601728643,1500.0
rerank_blender,follow up,0.422,0.397237149883847,0.4471613413085013,1500.0
rerank_blender,ignore,0.08333333333333333,0.0703882912877385,0.09840706764574607,1500.0
rerank_blender,incorrect fact,0.17333333333333334,0.15501790231982127,0.19331765908403065,1500.0
rerank_blender,irrelevant,0.17466666666666666,0.15629008408609518,0.19470533216916958,1500.0
rerank_blender,lack of empathy,0.09333333333333334,0.07963304722003077,0.10911122309905018,1500.0
